Customer ID,Customer Email,Purchase month,Number of user seats bought,Number of users added,Total number of logins,Customer Region,Total number of desktop sessions ran every month,Total number of mobile sessions ran every month,Month churned,Month repurchased
11171,kelly@xyz.com,January,2,2,18,North America,6,18,,
11172,sutherland@xyz.com,January,5,4,28,North America,76,36,,
11173,elisa@yahoo.com,January,10,3,3,Asia,21,9,February,
11174,chapman@xyz.com,January,1,1,7,Asia,4,10,,
11175,manning@xyz.com,January,2,2,18,Europe,22,20,,
11176,miller@xyz.com,January,2,2,18,North America,34,18,,
11177,forrest@yahoo.com,January,1,1,1,Asia,6,4,April,
11178,robertson@xyz.com,January,10,7,49,North America,21,56,,
11179,mitchell@xyz.com,January,2,2,12,North America,14,16,,
11180,lawrence@xyz.com,January,5,4,36,North America,20,40,,
11181,james@xyz.com,January,2,2,16,Europe,2,18,,
11182,enrique@yahoo.com,January,1,1,1,Asia,14,2,April,
11183,james@xyz.com,January,2,2,12,North America,22,16,,
11184,hamilton@xyz.com,January,5,4,32,North America,68,36,,
11185,russell@xyz.com,January,1,1,9,North America,8,8,,
11186,robertson@xyz.com,January,10,7,42,North America,84,56,,
11187,parsons@xyz.com,January,2,2,18,North America,10,18,,
11188,randall@xyz.com,January,10,9,72,North America,9,72,,
11189,bell@xyz.com,January,1,1,9,North America,5,9,,
11190,lawrence@xyz.com,January,10,8,48,North America,112,80,,
11191,lawrence@xyz.com,January,1,1,8,North America,16,9,,
11192,morgan@xyz.com,January,1,1,6,Asia,18,8,,
11193,lee@xyz.com,January,5,5,35,North America,25,50,,
11194,gray@xyz.com,January,2,2,16,North America,6,20,,
11195,ferguson@xyz.com,January,5,4,36,Asia,12,36,,
11196,graham@xyz.com,January,10,7,56,North America,49,70,,
11197,harris@xyz.com,January,2,2,14,Europe,36,16,,
11198,ellison@xyz.com,January,10,8,56,North America,32,72,,
11199,hill@xyz.com,January,5,5,45,Europe,40,40,,
11200,della@yahoo.com,January,1,1,1,North America,3,2,February,
11201,wilma@yahoo.com,January,1,1,1,Europe,16,3,February,
11202,roberts@xyz.com,January,5,4,24,North America,72,32,,
11203,graham@xyz.com,January,2,2,14,North America,26,20,,
11204,north@xyz.com,January,2,2,16,Asia,14,20,,
11205,terry@xyz.com,January,1,1,6,North America,10,8,,
11206,ross@xyz.com,January,10,7,42,Europe,126,56,,
11207,ernesto@yahoo.com,January,2,1,1,North America,18,2,February,April
11208,harry@yahoo.com,January,10,2,4,North America,36,8,February,
11209,christopher@yahoo.com,January,5,1,1,North America,12,1,February,
11210,north@xyz.com,January,10,8,72,North America,32,80,,
11211,clark@xyz.com,January,2,2,12,North America,6,18,,
11212,randall@xyz.com,January,1,1,7,North America,0,9,,
11213,harris@xyz.com,January,5,5,45,North America,25,40,,
11214,poole@xyz.com,January,1,1,9,Europe,20,10,,
11215,james@xyz.com,January,5,4,24,Europe,44,36,,
11216,lora@yahoo.com,January,1,1,2,Europe,17,1,February,
11217,fisher@xyz.com,January,10,8,48,North America,80,80,,
11218,baker@xyz.com,January,5,4,36,North America,0,40,,
11219,hill@xyz.com,January,10,9,72,North America,90,90,,
11220,cameron@xyz.com,January,2,2,16,Asia,12,20,,
11221,matt@yahoo.com,January,1,1,2,Asia,18,1,March,
11222,rosemarie@yahoo.com,January,10,2,4,North America,28,6,February,
11223,vanessa@yahoo.com,January,1,1,1,Asia,10,3,March,
11224,grady@yahoo.com,January,2,1,1,North America,1,2,February,
11225,abraham@xyz.com,January,10,9,81,North America,144,72,,
11226,bell@xyz.com,January,10,9,81,North America,126,90,,
11227,simon@yahoo.com,January,5,1,1,North America,7,3,February,
11228,reid@xyz.com,January,2,2,16,Europe,34,18,,
11229,white@xyz.com,January,1,1,9,North America,9,10,,
11230,campbell@xyz.com,January,1,1,6,North America,1,8,,
11231,stewart@xyz.com,January,2,2,12,Europe,0,4,,
11232,clarkson@xyz.com,January,1,1,6,Europe,12,10,,
11233,kathryn@yahoo.com,January,1,1,1,North America,7,4,February,
11234,tara@yahoo.com,January,10,2,2,Asia,0,6,February,
11235,miller@xyz.com,January,5,5,40,North America,25,40,,
11236,peters@xyz.com,January,1,1,8,North America,18,10,,
11237,coleman@xyz.com,January,2,2,18,North America,36,18,,
11238,burgess@xyz.com,January,5,4,24,North America,16,32,,
11239,churchill@xyz.com,January,10,10,70,North America,0,80,,
11240,sharp@xyz.com,January,2,2,14,Europe,22,18,,
11241,lyman@xyz.com,January,10,9,54,Europe,171,72,,
11242,henry@yahoo.com,January,5,1,1,Asia,2,5,February,
11243,knox@xyz.com,January,2,2,14,North America,12,16,,
11244,rosa@yahoo.com,January,1,1,1,Asia,16,3,February,
11245,bailey@xyz.com,January,10,9,54,Europe,144,81,,
11246,hughes@xyz.com,January,2,2,16,North America,40,16,,
11247,johnston@xyz.com,January,10,7,42,North America,0,63,,
11248,hudson@xyz.com,January,5,4,24,North America,44,40,,
11249,davidson@xyz.com,January,5,5,40,North America,80,45,,
11250,peters@xyz.com,January,10,9,63,North America,18,72,,
11251,graham@xyz.com,January,2,2,16,North America,20,18,,
11252,may@xyz.com,January,2,2,18,Europe,0,16,,
11253,taylor@xyz.com,January,2,2,16,North America,18,18,,
11254,cameron@xyz.com,January,10,10,70,North America,40,80,,
11255,newman@xyz.com,January,2,2,16,Europe,18,20,,
11256,macleod@xyz.com,January,2,1,6,Europe,10,8,,
11257,hill@xyz.com,January,2,2,18,North America,32,16,,
11258,johnston@xyz.com,January,5,4,24,Europe,76,32,,
11259,greene@xyz.com,January,1,1,6,Europe,16,9,,
11260,christina@yahoo.com,January,1,1,1,Asia,2,4,February,
11261,mackenzie@xyz.com,January,2,2,14,North America,6,16,,
11262,rutherford@xyz.com,January,5,4,28,Europe,28,40,,
11263,oliver@xyz.com,January,2,2,12,Europe,26,20,,
11264,harris@xyz.com,January,5,5,40,North America,5,50,,
11265,payne@xyz.com,January,2,2,14,North America,36,20,,
11266,skinner@xyz.com,January,2,2,18,North America,32,20,,
11267,lyman@xyz.com,January,2,2,12,North America,2,20,,
11268,skinner@xyz.com,January,5,4,24,Europe,64,36,,
11269,jodi@yahoo.com,January,1,1,1,Asia,17,2,February,
11270,cameron@xyz.com,January,1,1,9,Asia,0,10,,
11271,duncan@xyz.com,January,5,5,35,North America,55,45,,
11272,mcdonald@xyz.com,January,10,10,70,North America,150,80,,
11273,johnston@xyz.com,January,2,2,12,Europe,32,20,,
11274,mitchell@yahoo.com,January,10,3,3,North America,24,15,February,
11275,carr@xyz.com,January,5,5,35,North America,70,40,,
11276,boyd@yahoo.com,January,1,1,2,Europe,11,5,February,
11277,grant@xyz.com,January,10,10,90,Asia,100,100,,
11278,mcdonald@xyz.com,January,10,9,54,Europe,162,90,,
11279,mildred@yahoo.com,January,5,1,1,Asia,0,5,March,
11280,scott@xyz.com,January,1,1,8,Europe,10,9,,
11281,paula@yahoo.com,January,10,3,3,North America,39,9,February,
11282,gibson@xyz.com,January,2,2,16,North America,22,18,,
11283,russell@xyz.com,January,2,2,14,Europe,38,20,,
11284,hugo@yahoo.com,January,1,1,2,Asia,8,2,February,
11285,randall@xyz.com,January,1,1,8,North America,7,9,,
11286,grant@xyz.com,January,2,2,12,Europe,16,16,,
11287,davidson@xyz.com,January,1,1,6,Europe,16,10,,
11288,edmunds@xyz.com,January,2,2,14,North America,14,20,,
11289,edmunds@xyz.com,January,10,9,54,Europe,36,72,,
11290,powell@xyz.com,January,5,5,35,North America,65,50,,
11291,ernest@yahoo.com,January,1,1,1,Europe,0,1,February,
11292,jan@yahoo.com,January,2,1,1,North America,11,5,February,
11293,carlos@yahoo.com,January,1,1,1,Europe,6,5,February,
11294,ross@xyz.com,January,10,10,70,North America,120,90,,
11295,macdonald@xyz.com,January,1,1,8,Europe,2,9,,
11296,sutherland@xyz.com,January,1,1,7,North America,11,10,,
11297,ellison@xyz.com,January,2,2,18,North America,20,18,,
11298,tracy@yahoo.com,January,10,4,8,Asia,80,16,February,
11299,maria@yahoo.com,January,1,1,1,Asia,15,4,February,
11300,gill@xyz.com,January,5,5,40,North America,65,45,,
11301,mackay@xyz.com,February,10,10,80,Asia,70,90,,
11302,russell@xyz.com,February,10,9,63,North America,9,90,,
11303,may@xyz.com,February,2,2,18,North America,24,20,,
11304,tracy@gmail.com,February,1,1,2,Asia,0,4,March,
11305,chris@gmail.com,February,2,1,1,North America,5,3,March,
11306,kerr@xyz.com,February,10,10,90,North America,150,100,,
11307,henderson@xyz.com,February,2,2,12,Europe,24,18,,
11308,sutherland@xyz.com,February,1,1,7,North America,14,8,,
11309,teresa@gmail.com,February,1,1,2,North America,7,5,April,
11310,vaughan@xyz.com,February,5,4,24,North America,32,40,,
11311,jane@yahoo.com,February,1,1,1,Asia,6,1,March,
11312,bower@xyz.com,February,1,1,8,North America,17,10,,
11313,roberts@xyz.com,February,1,1,7,Europe,14,9,,
11314,davies@xyz.com,February,1,1,6,North America,0,10,,
11315,pablo@gmail.com,February,1,1,1,North America,1,2,March,
11316,underwood@xyz.com,February,5,3,21,North America,45,30,,
11317,eunice@gmail.com,February,2,1,1,Europe,17,1,March,
11318,burgess@xyz.com,February,1,1,6,North America,11,8,,
11319,davidson@xyz.com,February,10,9,81,Asia,99,90,,
11320,edmunds@xyz.com,February,2,2,12,North America,10,20,,
11321,thelma@gmail.com,February,10,4,4,North America,12,4,March,
11322,hill@xyz.com,February,1,1,8,Europe,12,9,,
11323,ramon@gmail.com,February,2,1,1,North America,7,2,March,
11324,marshall@xyz.com,February,5,5,35,North America,15,45,,
11325,morrison@xyz.com,February,10,8,72,Asia,48,64,,
11326,janice@gmail.com,February,5,2,2,Europe,14,6,March,
11327,walsh@xyz.com,February,2,2,18,Europe,12,16,,
11328,kerr@xyz.com,February,5,5,35,Europe,70,45,,
11329,hill@xyz.com,February,10,10,80,North America,40,90,,
11330,natalie@gmail.com,February,2,1,1,North America,19,2,March,
11331,henderson@xyz.com,February,10,8,48,Europe,144,64,,
11332,oliver@xyz.com,February,5,4,36,North America,20,32,,
11333,greene@xyz.com,February,2,2,18,North America,32,16,,
11334,carlton@gmail.com,February,10,2,4,Europe,0,2,March,
11335,chapman@xyz.com,February,10,9,81,Europe,63,72,,
11336,clark@gmail.com,February,5,2,2,Europe,24,10,March,
11337,baker@xyz.com,February,5,5,35,North America,90,45,,
11338,james@xyz.com,February,10,7,63,North America,70,63,,
11339,campbell@xyz.com,February,10,7,63,Europe,133,56,,
11340,ricardo@gmail.com,February,2,1,2,North America,8,2,March,
11341,douglas@gmail.com,February,5,2,2,North America,34,2,March,
11342,kerr@xyz.com,February,10,7,63,Europe,63,63,,
11343,berry@xyz.com,February,2,2,14,Europe,36,18,,
11344,berry@xyz.com,February,10,8,56,North America,40,72,,
11345,faith@gmail.com,February,5,1,1,Asia,1,4,March,
11346,stewart@xyz.com,February,1,1,9,Europe,2,10,,
11347,paula@gmail.com,February,1,1,2,North America,14,1,April,
11348,newman@xyz.com,February,5,4,24,Europe,72,36,,
11349,king@xyz.com,February,10,10,90,Asia,50,80,,
11350,randall@xyz.com,February,1,1,9,North America,3,10,,
11351,violet@gmail.com,February,2,1,1,North America,9,5,March,
11352,parr@xyz.com,February,10,8,72,North America,24,64,,
11353,harris@xyz.com,February,1,1,7,North America,2,9,,
11354,wilkins@xyz.com,February,1,1,9,North America,19,8,,
11355,marshall@xyz.com,February,5,5,40,North America,100,50,,
11356,langdon@xyz.com,February,2,2,16,Europe,0,16,,
11357,wilkins@xyz.com,February,1,1,9,North America,20,9,,
11358,jones@xyz.com,February,10,9,72,Europe,18,81,,
11359,ball@xyz.com,February,10,9,81,North America,180,72,,
11360,allan@xyz.com,February,1,1,8,Asia,5,8,,
11361,arlene@gmail.com,February,5,2,1,Europe,26,4,March,
11362,gary@yahoo.com,February,1,1,1,Asia,12,3,March,
11363,ball@xyz.com,February,10,8,48,North America,40,64,,
11364,george@yahoo.com,February,1,1,2,Asia,17,1,March,
11365,rampling@xyz.com,February,5,4,28,Europe,60,40,,
11366,kelly@xyz.com,February,1,1,8,North America,11,10,,
11367,mcdonald@xyz.com,February,1,1,9,North America,4,8,,
11368,greene@xyz.com,February,1,1,7,Europe,12,8,,
11369,newman@xyz.com,February,10,10,60,Asia,120,90,,
11370,brittany@gmail.com,February,1,1,1,Europe,17,1,March,April
11371,miriam@gmail.com,February,2,1,2,North America,10,1,April,
11372,kelly@xyz.com,February,2,2,16,North America,38,20,,
11373,kendra@yahoo.com,February,1,1,2,Asia,1,4,March,
11374,wm@gmail.com,February,1,1,2,Asia,6,1,March,
11375,russell@xyz.com,February,2,1,6,Europe,2,9,,
11376,ince@xyz.com,February,2,2,14,North America,40,20,,
11377,randall@xyz.com,February,2,2,12,North America,20,18,,
11378,wright@xyz.com,February,2,2,16,North America,10,18,,
11379,blake@xyz.com,February,5,4,24,North America,80,36,,
11380,lillie@gmail.com,February,2,1,1,North America,2,2,March,
11381,alberta@gmail.com,February,5,2,4,North America,8,10,April,
11382,timothy@gmail.com,February,1,1,1,North America,1,2,April,
11383,welch@xyz.com,February,2,2,18,Europe,6,16,,
11384,margaret@gmail.com,February,5,2,4,North America,36,8,April,
11385,yvette@gmail.com,February,2,1,1,North America,11,5,March,
11386,fisher@xyz.com,February,1,1,8,North America,0,8,,
11387,chapman@xyz.com,February,1,1,9,Asia,5,8,,
11388,davies@xyz.com,February,5,4,24,Europe,60,36,,
11389,maureen@yahoo.com,February,1,1,1,Asia,8,2,March,
11390,brenda@yahoo.com,February,1,1,1,Asia,16,4,March,
11391,taylor@xyz.com,February,10,9,72,Europe,144,72,,
11392,rita@gmail.com,February,5,2,1,Asia,36,2,March,
11393,knox@xyz.com,February,2,2,12,Asia,40,20,,
11394,peake@xyz.com,February,10,9,72,North America,153,90,,
11395,roderick@gmail.com,February,2,1,2,Asia,5,4,March,
11396,howard@xyz.com,February,5,5,35,North America,25,40,,
11397,carr@xyz.com,February,5,5,45,Asia,50,45,,
11398,ellison@xyz.com,February,5,5,35,North America,25,45,,
11399,janet@yahoo.com,February,1,1,1,Asia,17,4,March,
11400,arnold@gmail.com,February,1,1,1,North America,13,5,April,
11401,tami@yahoo.com,February,1,1,1,Asia,6,2,March,
11402,taylor@xyz.com,February,2,2,16,Europe,26,16,,
11403,campbell@xyz.com,February,1,1,8,Asia,13,10,,
11404,sharp@xyz.com,February,5,4,28,Europe,80,40,,
11405,rutherford@xyz.com,February,10,10,90,North America,50,80,,
11406,carroll@yahoo.com,February,1,1,1,Asia,14,3,March,
11407,james@xyz.com,February,1,1,8,Europe,14,10,,
11408,robertson@xyz.com,February,1,1,7,North America,14,8,,
11409,martin@xyz.com,February,1,1,8,North America,1,9,,
11410,howard@yahoo.com,February,1,1,2,Asia,18,4,March,
11411,white@xyz.com,February,2,2,16,Asia,6,18,,
11412,herman@gmail.com,February,5,2,1,North America,26,10,March,
11413,white@xyz.com,February,1,1,9,North America,9,10,,
11414,nick@gmail.com,February,10,4,8,Asia,12,16,March,
11415,lewis@xyz.com,February,5,4,28,Europe,20,36,,
11416,jared@gmail.com,February,2,1,2,Europe,2,2,March,
11417,johnny@yahoo.com,February,1,1,1,Asia,15,4,March,
11418,nash@xyz.com,February,5,5,40,Europe,100,50,,
11419,eleanor@gmail.com,February,5,1,1,Asia,18,5,March,
11420,kimberly@gmail.com,February,10,2,2,Asia,34,4,March,
11421,miller@xyz.com,February,1,1,6,Asia,11,8,,
11422,hill@xyz.com,February,5,4,24,Europe,60,32,,
11423,wright@xyz.com,February,5,5,30,North America,80,45,,
11424,melissa@gmail.com,February,5,1,1,Asia,8,4,March,
11425,clarkson@xyz.com,February,5,4,36,Europe,56,40,,
11426,ed@gmail.com,February,2,1,2,North America,14,1,March,
11427,gill@xyz.com,February,1,1,9,Asia,5,8,,
11428,willis@gmail.com,February,1,1,1,North America,9,5,March,
11429,paterson@xyz.com,February,1,1,7,North America,3,8,,
11430,paige@xyz.com,February,1,1,8,North America,0,10,,
11431,emmett@gmail.com,February,2,1,1,Europe,19,1,March,April
11432,viola@gmail.com,February,1,1,1,Asia,18,2,March,
11433,buckland@xyz.com,February,1,1,8,Asia,9,8,,
11434,cornish@xyz.com,February,5,3,21,North America,12,30,,
11435,robertson@xyz.com,February,1,1,9,North America,6,10,,
11436,pamela@yahoo.com,February,1,1,1,Asia,3,4,March,
11437,jeremiah@gmail.com,February,1,1,1,Asia,1,2,March,
11438,lewis@xyz.com,February,5,4,32,North America,48,36,,
11439,alton@gmail.com,February,10,2,2,Asia,6,10,March,
11440,martin@xyz.com,February,1,1,8,Europe,9,10,,
11441,king@xyz.com,February,1,1,7,North America,5,8,,
11442,ross@xyz.com,February,5,4,36,Europe,80,36,,
11443,derek@gmail.com,February,1,1,2,Asia,5,5,March,
11444,melanie@gmail.com,February,5,2,2,North America,30,6,March,
11445,taylor@xyz.com,February,1,1,6,Europe,11,8,,
11446,berry@xyz.com,February,2,2,12,North America,10,18,,
11447,paterson@xyz.com,February,2,2,12,Europe,22,18,,
11448,newman@xyz.com,February,10,7,63,Europe,140,63,,
11449,gibson@xyz.com,February,5,4,36,North America,32,36,,
11450,bell@xyz.com,February,2,2,12,Europe,22,16,,
11451,bower@xyz.com,February,1,1,8,Europe,6,9,,
